No;Kode_Kab;Kabupaten;Res_fpa_fgwc$cluster
380;7110;BOLAANG MONGONDOW SELATAN;2
381;7111;BOLAANG MONGONDOW TIMUR;2
382;7171;KOTA MANADO;4
383;7172;KOTA BITUNG;4
384;7173;KOTA TOMOHON;1
385;7174;KOTA KOTAMOBAGU;1
386;7201;BANGGAI KEPULAUAN;2
387;7202;BANGGAI;2
388;7203;MOROWALI;1
389;7204;POSO;1
390;7205;DONGGALA;2
391;7206;TOLI-TOLI;2
392;7207;BUOL;2
393;7208;PARIGI MOUTONG;2
394;7209;TOJO UNA-UNA;2
395;7210;SIGI;2
396;7211;BANGGAI LAUT;2
397;7212;MOROWALI UTARA;2
398;7271;KOTA PALU;1
399;7301;KEPULAUAN SELAYAR;2
400;7302;BULUKUMBA;1
401;7303;BANTAENG;1
402;7304;JENEPONTO;2
403;7305;TAKALAR;1
404;7306;GOWA;1
405;7307;SINJAI;2
406;7308;MAROS;1
407;7309;PANGKAJENE DAN KEPULAUAN;2
408;7310;BARRU;2
409;7311;BONE;2
410;7312;SOPPENG;2
411;7313;WAJO;1
412;7314;SIDENRENG RAPPANG;1
413;7315;PINRANG;1
414;7316;ENREKANG;1
415;7317;LUWU;2
416;7318;TANA TORAJA;1
417;7322;LUWU UTARA;2
418;7325;LUWU TIMUR;2
419;7326;TORAJA UTARA;1
420;7371;KOTA MAKASSAR;4
421;7372;KOTA PARE-PARE;4
422;7373;KOTA PALOPO;4
423;7401;BUTON;2
424;7402;MUNA;2
425;7403;KONAWE;1
426;7404;KOLAKA;2
427;7405;KONAWE SELATAN;2
428;7406;BOMBANA;2
429;7407;WAKATOBI;2
430;7408;KOLAKA UTARA;2
431;7409;BUTON UTARA;2
432;7410;KONAWE UTARA;2
433;7411;KOLAKA TIMUR;1
434;7412;KONAWE KEPULAUAN;2
435;7413;MUNA BARAT;1
436;7414;BUTON TENGAH;4
437;7415;BUTON SELATAN;1
438;7471;KOTA KENDARI;1
439;7472;KOTA BAUBAU;4
440;7501;BOALEMO;2
441;7502;GORONTALO;2
442;7503;POHUWATO;2
443;7504;BONE BOLANGO;2
444;7505;GORONTALO UTARA;2
445;7571;KOTA GORONTALO;4
446;7601;MAJENE;2
447;7602;POLEWALI MANDAR;2
448;7603;MAMASA;2
449;7604;MAMUJU;2
450;7605;PASANGKAYU;2
451;7606;MAMUJU TENGAH;2
452;8101;MALUKU TENGGARA BARAT;2
453;8102;MALUKU TENGGARA;2
454;8103;MALUKU TENGAH;2
455;8104;BURU;2
456;8105;KEPULAUAN ARU;2
457;8106;SERAM BAGIAN BARAT;2
458;8107;SERAM BAGIAN TIMUR;2
459;8108;MALUKU BARAT DAYA;2
460;8109;BURU SELATAN;2
461;8171;KOTA AMBON;4
462;8172;KOTA TUAL;1
463;8201;HALMAHERA BARAT;2
464;8202;HALMAHERA TENGAH;2
465;8203;KEPULAUAN SULA;2
466;8204;HALMAHERA SELATAN;2
467;8205;HALMAHERA UTARA;2
468;8206;HALMAHERA TIMUR;2
469;8207;PULAU MOROTAI;2
470;8208;PULAU TALIABU;2
471;8271;KOTA TERNATE;4
472;8272;KOTA TIDORE KEPULAUAN;1
473;9101;FAKFAK;1
474;9102;KAIMANA;2
475;9103;TELUK WONDAMA;2
476;9104;TELUK BINTUNI;2
477;9105;MANOKWARI;2
478;9106;SORONG SELATAN;2
479;9107;SORONG;2
480;9108;RAJA AMPAT;2
481;9109;TAMBRAUW;2
482;9110;MAYBRAT;2
483;9111;MANOKWARI SELATAN;2
484;9112;PEGUNUNGAN ARFAK;3
485;9171;KOTA SORONG;1
486;9401;MERAUKE;1
487;9402;JAYAWIJAYA;3
488;9403;JAYAPURA;1
489;9404;NABIRE;2
490;9408;KEPULAUAN YAPEN;1
491;9409;BIAK NUMFOR;1
492;9410;PANIAI;3
493;9411;PUNCAK JAYA;3
494;9412;MIMIKA;1
495;9413;BOVEN DIGOEL;2
496;9414;MAPPI;3
497;9415;ASMAT;2
498;9416;YAHUKIMO;3
499;9417;PEGUNUNGAN BINTANG;3
500;9418;TOLIKARA;3
501;9419;SARMI;2
502;9420;KEEROM;2
503;9426;WAROPEN;2
504;9427;SUPIORI;2
505;9428;MAMBERAMO RAYA;3
506;9429;NDUGA;3
507;9430;LANNY JAYA;3
508;9431;MAMBERAMO TENGAH;3
509;9432;YALIMO;3
510;9433;PUNCAK;3
511;9434;DOGIYAI;3
512;9435;INTAN JAYA;3
513;9436;DEIYAI;3
514;9471;KOTA JAYAPURA;4
