No;Kode_Kab;Kabupaten;Res_fpa_fgwc$cluster
330;6202;KOTAWARINGIN TIMUR;4
331;6203;KAPUAS;4
332;6204;BARITO SELATAN;4
333;6205;BARITO UTARA;4
334;6206;SUKAMARA;4
335;6207;LAMANDAU;4
336;6208;SERUYAN;4
337;6209;KATINGAN;4
338;6210;PULANG PISAU;4
339;6211;GUNUNG MAS;4
340;6212;BARITO TIMUR;4
341;6213;MURUNG RAYA;1
342;6271;KOTA PALANGKARAYA;4
343;6301;TANAH LAUT;4
344;6302;KOTABARU;4
345;6303;BANJAR;4
346;6304;BARITO KUALA;4
347;6305;TAPIN;4
348;6306;HULU SUNGAI SELATAN;4
349;6307;HULU SUNGAI TENGAH;4
350;6308;HULU SUNGAI UTARA;2
351;6309;TABALONG;4
352;6310;TANAH BUMBU;4
353;6311;BALANGAN;2
354;6371;KOTA BANJARMASIN;2
355;6372;KOTA BANJARBARU;2
356;6401;PASER;2
357;6402;KUTAI BARAT;4
358;6403;KUTAI KARTANEGARA;2
359;6404;KUTAI TIMUR;2
360;6405;BERAU;2
361;6409;PENAJAM PASER UTARA;4
362;6411;MAHAKAM HULU;3
363;6471;KOTA BALIKPAPAN;2
364;6472;KOTA SAMARINDA;2
365;6474;KOTA BONTANG;2
366;6501;MALINAU;2
367;6502;BULUNGAN;2
368;6503;TANA TIDUNG;4
369;6504;NUNUKAN;2
370;6571;KOTA TARAKAN;2
371;7101;BOLAANG MONGONDOW;3
372;7102;MINAHASA;4
373;7103;KEPULAUAN SANGIHE;1
374;7104;KEPULAUAN TALAUD;4
375;7105;MINAHASA SELATAN;4
376;7106;MINAHASA UTARA;4
377;7107;BOLAANG MONGONDOW UTARA;1
378;7108;SIAU TAGULANDANG BIARO;4
379;7109;MINAHASA TENGGARA;4
380;7110;BOLAANG MONGONDOW SELATAN;1
381;7111;BOLAANG MONGONDOW TIMUR;1
382;7171;KOTA MANADO;2
383;7172;KOTA BITUNG;2
384;7173;KOTA TOMOHON;4
385;7174;KOTA KOTAMOBAGU;2
386;7201;BANGGAI KEPULAUAN;1
387;7202;BANGGAI;4
388;7203;MOROWALI;4
389;7204;POSO;4
390;7205;DONGGALA;1
391;7206;TOLI-TOLI;1
392;7207;BUOL;1
393;7208;PARIGI MOUTONG;1
394;7209;TOJO UNA-UNA;1
395;7210;SIGI;1
396;7211;BANGGAI LAUT;1
397;7212;MOROWALI UTARA;3
398;7271;KOTA PALU;4
399;7301;KEPULAUAN SELAYAR;1
400;7302;BULUKUMBA;4
401;7303;BANTAENG;4
402;7304;JENEPONTO;1
403;7305;TAKALAR;4
404;7306;GOWA;4
405;7307;SINJAI;4
406;7308;MAROS;4
407;7309;PANGKAJENE DAN KEPULAUAN;4
408;7310;BARRU;3
409;7311;BONE;4
410;7312;SOPPENG;4
411;7313;WAJO;4
412;7314;SIDENRENG RAPPANG;4
413;7315;PINRANG;4
414;7316;ENREKANG;4
415;7317;LUWU;1
416;7318;TANA TORAJA;4
417;7322;LUWU UTARA;4
418;7325;LUWU TIMUR;4
419;7326;TORAJA UTARA;4
420;7371;KOTA MAKASSAR;2
421;7372;KOTA PARE-PARE;2
422;7373;KOTA PALOPO;2
423;7401;BUTON;3
424;7402;MUNA;1
425;7403;KONAWE;4
426;7404;KOLAKA;4
427;7405;KONAWE SELATAN;3
428;7406;BOMBANA;1
429;7407;WAKATOBI;4
430;7408;KOLAKA UTARA;1
431;7409;BUTON UTARA;1
432;7410;KONAWE UTARA;3
433;7411;KOLAKA TIMUR;4
434;7412;KONAWE KEPULAUAN;1
435;7413;MUNA BARAT;4
436;7414;BUTON TENGAH;2
437;7415;BUTON SELATAN;4
438;7471;KOTA KENDARI;2
439;7472;KOTA BAUBAU;2
440;7501;BOALEMO;1
441;7502;GORONTALO;1
442;7503;POHUWATO;1
443;7504;BONE BOLANGO;1
444;7505;GORONTALO UTARA;1
445;7571;KOTA GORONTALO;2
446;7601;MAJENE;1
447;7602;POLEWALI MANDAR;4
448;7603;MAMASA;1
449;7604;MAMUJU;1
450;7605;PASANGKAYU;3
451;7606;MAMUJU TENGAH;3
452;8101;MALUKU TENGGARA BARAT;1
453;8102;MALUKU TENGGARA;1
454;8103;MALUKU TENGAH;4
455;8104;BURU;1
456;8105;KEPULAUAN ARU;1
457;8106;SERAM BAGIAN BARAT;1
458;8107;SERAM BAGIAN TIMUR;1
459;8108;MALUKU BARAT DAYA;1
460;8109;BURU SELATAN;1
461;8171;KOTA AMBON;2
462;8172;KOTA TUAL;3
463;8201;HALMAHERA BARAT;1
464;8202;HALMAHERA TENGAH;1
465;8203;KEPULAUAN SULA;1
466;8204;HALMAHERA SELATAN;1
467;8205;HALMAHERA UTARA;1
468;8206;HALMAHERA TIMUR;3
469;8207;PULAU MOROTAI;1
470;8208;PULAU TALIABU;1
471;8271;KOTA TERNATE;2
472;8272;KOTA TIDORE KEPULAUAN;4
473;9101;FAKFAK;1
474;9102;KAIMANA;1
475;9103;TELUK WONDAMA;3
476;9104;TELUK BINTUNI;3
477;9105;MANOKWARI;3
478;9106;SORONG SELATAN;1
479;9107;SORONG;3
480;9108;RAJA AMPAT;1
481;9109;TAMBRAUW;1
482;9110;MAYBRAT;1
483;9111;MANOKWARI SELATAN;1
484;9112;PEGUNUNGAN ARFAK;1
485;9171;KOTA SORONG;2
486;9401;MERAUKE;4
487;9402;JAYAWIJAYA;1
488;9403;JAYAPURA;4
489;9404;NABIRE;3
490;9408;KEPULAUAN YAPEN;4
491;9409;BIAK NUMFOR;4
492;9410;PANIAI;3
493;9411;PUNCAK JAYA;1
494;9412;MIMIKA;4
495;9413;BOVEN DIGOEL;1
496;9414;MAPPI;1
497;9415;ASMAT;1
498;9416;YAHUKIMO;1
499;9417;PEGUNUNGAN BINTANG;3
500;9418;TOLIKARA;1
501;9419;SARMI;3
502;9420;KEEROM;3
503;9426;WAROPEN;3
504;9427;SUPIORI;3
505;9428;MAMBERAMO RAYA;1
506;9429;NDUGA;3
507;9430;LANNY JAYA;3
508;9431;MAMBERAMO TENGAH;1
509;9432;YALIMO;1
510;9433;PUNCAK;1
511;9434;DOGIYAI;3
512;9435;INTAN JAYA;3
513;9436;DEIYAI;3
514;9471;KOTA JAYAPURA;2
